מניאק
אפס
הומו
חרא
זבל
חנון
טמבל
מפגר
מגעיל
בן זונה
סתומה
מטומטמת 
עלובה 
מסריח
עלוב
מכוער
אגואיסט
טיפש
צבוע
חסר עמוד שדרה
ערמומי
לא יפה
איכס
מגעיל 
חוצפן
רע
כוסאמאשלך
מעפן
תזדיין
תמות 
מטומטם
גיי
שתוק
סתום
בן אלף 
לך תחפש 
יא אפס
יא מניאק 
זדיין 
יא זבל
